epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.29621,4.0915,5.27711,2.7891,0.0006,0.03333,0.00042,8e-05,5.37529,5.34516,3.73317,1.334e-05,1.334e-05,1.334e-05
2,10.6442,3.73111,5.39566,2.42074,0.00063,0.03333,0.00063,0.00019,5.34184,5.3735,3.67616,3.26897e-05,3.26897e-05,3.26897e-05
3,12.8812,3.9639,5.90506,2.73106,0.0013,0.06667,0.00139,0.00037,5.3045,5.38375,3.65066,5.12469e-05,5.12469e-05,5.12469e-05
4,15.2365,3.4908,4.88084,2.3183,0.00121,0.06667,0.00109,0.00031,5.14145,5.25157,3.60772,6.90118e-05,6.90118e-05,6.90118e-05
5,17.6235,2.36,3.5628,1.62095,0.02449,0.304,0.04538,0.01479,2.74798,3.13165,2.11044,8.59843e-05,8.59843e-05,8.59843e-05
6,20.1132,2.23499,3.14542,1.56263,0.84231,0.104,0.06984,0.01625,2.88376,8.7499,1.87392,0.000102164,0.000102164,0.000102164
7,22.528,2.21214,2.79099,1.69058,0.4966,0.28,0.21434,0.07031,2.34815,4.97154,1.72344,0.000117552,0.000117552,0.000117552
8,24.9184,2.03005,2.42388,1.50934,0.14639,0.50133,0.19827,0.07477,2.12774,2.28109,1.63984,0.000132147,0.000132147,0.000132147
9,27.3311,2.02612,2.09255,1.51509,0.14639,0.50133,0.19827,0.07477,2.12774,2.28109,1.63984,0.00014595,0.00014595,0.00014595
10,29.7147,2.05987,2.61614,1.56173,0.51959,0.144,0.1433,0.05218,2.12417,2.69137,1.61032,0.000158961,0.000158961,0.000158961
11,32.0759,2.00595,2.22168,1.5896,0.51959,0.144,0.1433,0.05218,2.12417,2.69137,1.61032,0.000171179,0.000171179,0.000171179
12,34.459,2.05575,2.22716,1.58198,0.47301,0.16,0.10007,0.03598,2.07948,3.04454,1.63535,0.000182605,0.000182605,0.000182605
13,36.855,1.8983,1.75602,1.50597,0.47301,0.16,0.10007,0.03598,2.07948,3.04454,1.63535,0.000193238,0.000193238,0.000193238
14,39.2732,1.87336,1.76834,1.47771,0.41376,0.1936,0.24751,0.13371,1.96685,2.08203,1.54587,0.000203079,0.000203079,0.000203079
15,41.6299,1.88643,1.70027,1.561,0.41376,0.1936,0.24751,0.13371,1.96685,2.08203,1.54587,0.000212127,0.000212127,0.000212127
16,44.044,1.8057,1.783,1.46908,0.41376,0.1936,0.24751,0.13371,1.96685,2.08203,1.54587,0.000220383,0.000220383,0.000220383
17,46.5243,1.90722,1.87608,1.49466,0.52165,0.32355,0.29696,0.1723,1.8958,2.48436,1.50662,0.000227847,0.000227847,0.000227847
18,48.9788,1.79937,1.61715,1.48425,0.52165,0.32355,0.29696,0.1723,1.8958,2.48436,1.50662,0.000234519,0.000234519,0.000234519
19,51.3717,1.69173,1.59171,1.51963,0.52165,0.32355,0.29696,0.1723,1.8958,2.48436,1.50662,0.000240397,0.000240397,0.000240397
20,53.7855,1.78669,1.65688,1.45865,0.64271,0.46473,0.71444,0.34335,1.86125,1.97924,1.47891,0.000245484,0.000245484,0.000245484
21,56.1271,1.82621,1.51168,1.47113,0.64271,0.46473,0.71444,0.34335,1.86125,1.97924,1.47891,0.000249778,0.000249778,0.000249778
22,58.5863,1.79565,1.59329,1.44373,0.64271,0.46473,0.71444,0.34335,1.86125,1.97924,1.47891,0.00025328,0.00025328,0.00025328
23,61.0338,1.71297,1.58163,1.41761,0.64271,0.46473,0.71444,0.34335,1.86125,1.97924,1.47891,0.000255989,0.000255989,0.000255989
24,63.5139,1.81427,1.59553,1.42965,0.30125,0.6,0.58803,0.2684,1.75815,2.0011,1.51186,0.000257906,0.000257906,0.000257906
25,65.8263,1.77853,1.35552,1.44401,0.30125,0.6,0.58803,0.2684,1.75815,2.0011,1.51186,0.000259031,0.000259031,0.000259031
26,68.1914,1.74554,1.44761,1.48138,0.30125,0.6,0.58803,0.2684,1.75815,2.0011,1.51186,0.000259363,0.000259363,0.000259363
27,70.5598,1.7761,1.49746,1.47211,0.30125,0.6,0.58803,0.2684,1.75815,2.0011,1.51186,0.000258903,0.000258903,0.000258903
28,72.9135,1.72572,1.4637,1.5094,0.30125,0.6,0.58803,0.2684,1.75815,2.0011,1.51186,0.00025765,0.00025765,0.00025765
29,75.2669,1.75577,1.55932,1.44634,0.62038,0.68751,0.70051,0.33984,1.76658,1.35328,1.48153,0.000255605,0.000255605,0.000255605
30,77.6171,1.7565,1.61292,1.47948,0.62038,0.68751,0.70051,0.33984,1.76658,1.35328,1.48153,0.000252768,0.000252768,0.000252768
31,80.0036,1.77676,1.49477,1.44425,0.62038,0.68751,0.70051,0.33984,1.76658,1.35328,1.48153,0.000249138,0.000249138,0.000249138
32,82.3343,1.76525,1.37035,1.44615,0.62038,0.68751,0.70051,0.33984,1.76658,1.35328,1.48153,0.000244716,0.000244716,0.000244716
33,84.7559,1.67481,1.27229,1.4419,0.62038,0.68751,0.70051,0.33984,1.76658,1.35328,1.48153,0.000239501,0.000239501,0.000239501
34,87.1645,1.65764,1.28819,1.39918,0.6029,0.676,0.68692,0.32788,1.73761,1.48953,1.47282,0.000231182,0.000231182,0.000231182
35,89.5085,1.68827,1.31606,1.41554,0.6029,0.676,0.68692,0.32788,1.73761,1.48953,1.47282,0.000217976,0.000217976,0.000217976
36,91.9063,1.6996,1.40973,1.40989,0.6029,0.676,0.68692,0.32788,1.73761,1.48953,1.47282,0.000204769,0.000204769,0.000204769
37,94.277,1.69836,1.40752,1.47223,0.6029,0.676,0.68692,0.32788,1.73761,1.48953,1.47282,0.000191562,0.000191562,0.000191562
38,96.6624,1.58465,1.42921,1.41659,0.6029,0.676,0.68692,0.32788,1.73761,1.48953,1.47282,0.000178356,0.000178356,0.000178356
39,99.0321,1.57971,1.20902,1.36068,0.6029,0.676,0.68692,0.32788,1.73761,1.48953,1.47282,0.000165149,0.000165149,0.000165149
40,101.451,1.67601,1.35674,1.46328,0.82273,0.68296,0.70761,0.33383,1.73038,1.28293,1.42414,0.000151943,0.000151943,0.000151943
41,104.476,1.62745,1.4164,1.39205,0.82273,0.68296,0.70761,0.33383,1.73038,1.28293,1.42414,0.000138736,0.000138736,0.000138736
42,106.858,1.59106,1.40115,1.38855,0.82273,0.68296,0.70761,0.33383,1.73038,1.28293,1.42414,0.000125529,0.000125529,0.000125529
43,109.193,1.67787,1.41384,1.41282,0.82273,0.68296,0.70761,0.33383,1.73038,1.28293,1.42414,0.000112323,0.000112323,0.000112323
44,111.511,1.64031,1.55638,1.38051,0.82273,0.68296,0.70761,0.33383,1.73038,1.28293,1.42414,9.91162e-05,9.91162e-05,9.91162e-05
45,113.905,1.61561,1.41855,1.39155,0.85978,0.65867,0.71791,0.32518,1.68205,1.19775,1.3821,8.59096e-05,8.59096e-05,8.59096e-05
46,116.22,1.61864,1.39502,1.43299,0.85978,0.65867,0.71791,0.32518,1.68205,1.19775,1.3821,7.2703e-05,7.2703e-05,7.2703e-05
47,118.544,1.57248,1.37424,1.37613,0.85978,0.65867,0.71791,0.32518,1.68205,1.19775,1.3821,5.94964e-05,5.94964e-05,5.94964e-05
48,120.906,1.70437,1.57667,1.39021,0.85978,0.65867,0.71791,0.32518,1.68205,1.19775,1.3821,4.62898e-05,4.62898e-05,4.62898e-05
49,123.25,1.71186,1.37431,1.43632,0.85978,0.65867,0.71791,0.32518,1.68205,1.19775,1.3821,3.30832e-05,3.30832e-05,3.30832e-05
50,125.635,1.62165,1.3322,1.42457,0.82388,0.66067,0.71878,0.33438,1.67117,1.18244,1.38334,1.98766e-05,1.98766e-05,1.98766e-05
